memberId,sharedRoutineId,preference,Id
1,1,3,1
2,1,1.5,2
3,1,1,3
4,1,5,4
5,1,3,5
6,1,5,6
7,1,2,7
8,1,3.5,8
9,1,2.5,9
10,1,3,10
11,1,4,11
12,1,5,12
13,2,2,13
14,2,3.5,14
15,2,1,15
16,2,4,16
17,2,3,17
1,3,4,18
18,3,2,19
1,4,0.5,20
19,4,1.5,21
20,4,0.5,22
21,4,3,23
22,4,5,24
23,4,1.5,25
24,4,3,26
25,5,1,27
26,5,2,28
27,5,4,29
28,6,2,30
29,6,3,31
30,7,1,32
31,8,3,33
32,8,2,34
33,8,4,35
34,8,1,36
35,8,1,37
36,9,4,38
37,9,4,39
38,9,2.5,40
39,9,3,41
21,9,1.5,42
2,9,4,43
9,9,3,44
11,9,1.5,45
44,9,2,46
45,9,3,47
3,10,2,48
47,10,1.5,49
48,10,4.5,50
49,10,3,51
1,12,4,52
22,13,2,53
25,13,2,54
2,14,1.5,55
5,14,2,56
13,14,1,57
20,14,2,58
40,14,4,59
46,14,5,60
35,14,3.5,61
19,14,2,62
33,14,1,63
34,16,3,64
35,16,1.5,65
20,16,2,66
30,18,2,67
31,18,2,68
32,19,4,69
38,19,5,70
25,19,1,71
17,19,3,72
28,19,1,73
37,20,3.5,74
36,20,2,75
39,21,3.5,76
40,21,2,77
41,22,4,78
42,23,2,79
43,23,2,80
44,23,1,81
45,24,2.5,82
46,24,4,83
